datetime,temperature,humidity,pressure,wind_speed,wind_direction,rides,date,hour,month,day,year,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos
2015-10-22 21:00:00,22.260000000000048,36.0,1019.0,4.0,230.0,25,2015-10-22,21,10,22,2015,-0.5195839500354336,0.8544194045464886,0.3697245428906731,0.9291414114031743,-0.8660254037844386,0.5000000000000001
2015-10-22 22:00:00,21.700000000000045,46.0,1018.0,2.0,210.0,27,2015-10-22,22,10,22,2015,-0.2697967711570252,0.962917287347799,0.3697245428906731,0.9291414114031743,-0.8660254037844386,0.5000000000000001
2015-10-22 23:00:00,21.07000000000005,49.0,1018.0,4.0,260.0,27,2015-10-22,23,10,22,2015,-2.4492935982947064e-16,1.0,0.3697245428906731,0.9291414114031743,-0.8660254037844386,0.5000000000000001
2015-10-23 00:00:00,20.510000000000048,46.0,1019.0,3.0,230.0,31,2015-10-23,0,10,23,2015,0.0,1.0,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 01:00:00,20.120000000000005,49.0,1019.0,3.0,220.0,32,2015-10-23,1,10,23,2015,0.2697967711570243,0.9629172873477994,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 02:00:00,19.060000000000002,52.0,1019.0,3.0,220.0,38,2015-10-23,2,10,23,2015,0.5195839500354336,0.8544194045464886,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 03:00:00,17.870000000000005,63.0,1019.0,3.0,284.0,33,2015-10-23,3,10,23,2015,0.730835964278124,0.6825531432186541,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 04:00:00,17.060000000000002,81.0,1019.0,2.0,360.0,35,2015-10-23,4,10,23,2015,0.8878852184023752,0.4600650377311522,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 05:00:00,16.629999999999995,59.0,1020.0,4.0,340.0,32,2015-10-23,5,10,23,2015,0.9790840876823229,0.20345601305263375,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 06:00:00,15.740000000000009,58.0,1020.0,4.0,320.0,33,2015-10-23,6,10,23,2015,0.9976687691905392,-0.06824241336467088,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 07:00:00,14.580000000000041,50.0,1021.0,4.0,360.0,32,2015-10-23,7,10,23,2015,0.9422609221188205,-0.33487961217098616,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 08:00:00,13.460000000000036,57.0,1021.0,4.0,331.0,33,2015-10-23,8,10,23,2015,0.8169698930104421,-0.5766803221148671,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 09:00:00,12.54000000000002,50.0,1021.0,2.0,320.0,33,2015-10-23,9,10,23,2015,0.631087944326053,-0.7757112907044197,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 10:00:00,11.970000000000027,53.0,1021.0,2.0,320.0,34,2015-10-23,10,10,23,2015,0.3984010898462414,-0.917211301505453,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 11:00:00,11.420000000000016,62.0,1022.0,5.0,350.0,34,2015-10-23,11,10,23,2015,0.1361666490962471,-0.9906859460363306,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 12:00:00,10.620000000000005,66.0,1023.0,4.0,10.0,35,2015-10-23,12,10,23,2015,-0.1361666490962464,-0.9906859460363308,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 13:00:00,10.990000000000009,54.0,1023.0,4.0,10.0,33,2015-10-23,13,10,23,2015,-0.39840108984624156,-0.9172113015054529,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 14:00:00,12.080000000000041,47.0,1023.0,6.0,330.0,31,2015-10-23,14,10,23,2015,-0.6310879443260528,-0.7757112907044198,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 15:00:00,12.910000000000025,69.0,1024.0,3.0,330.0,34,2015-10-23,15,10,23,2015,-0.816969893010442,-0.5766803221148672,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 16:00:00,13.220000000000027,35.0,1024.0,5.0,20.0,29,2015-10-23,16,10,23,2015,-0.9422609221188204,-0.3348796121709864,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 17:00:00,13.680000000000007,30.0,1024.0,5.0,350.0,28,2015-10-23,17,10,23,2015,-0.9976687691905393,-0.06824241336467046,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 18:00:00,14.060000000000002,28.0,1024.0,4.0,360.0,27,2015-10-23,18,10,23,2015,-0.979084087682323,0.2034560130526333,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 19:00:00,15.0,25.0,1023.0,8.0,340.0,25,2015-10-23,19,10,23,2015,-0.8878852184023756,0.4600650377311516,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 20:00:00,14.920000000000016,28.0,1023.0,4.0,350.0,26,2015-10-23,20,10,23,2015,-0.730835964278124,0.6825531432186541,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 21:00:00,15.140000000000043,26.0,1023.0,3.0,20.0,26,2015-10-23,21,10,23,2015,-0.5195839500354336,0.8544194045464886,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
